date,currency,tenor,floating_rate,rate
2025-11-13,AUD,4Y,6M BBSW,4.1225
2025-11-12,AUD,4Y,6M BBSW,3.892217042182323
2025-11-11,AUD,4Y,6M BBSW,3.871488729935296
2025-11-10,AUD,4Y,6M BBSW,3.86832438393256
2025-11-07,AUD,4Y,6M BBSW,3.827041206381641
2025-11-06,AUD,4Y,6M BBSW,3.819979320059688
2025-11-05,AUD,4Y,6M BBSW,3.845655473168202
2025-11-04,AUD,4Y,6M BBSW,3.833856045889873
2025-11-03,AUD,4Y,6M BBSW,3.847051838260436
2025-10-31,AUD,4Y,6M BBSW,3.817786347625142
2025-10-30,AUD,4Y,6M BBSW,3.808224413592221
2025-10-29,AUD,4Y,6M BBSW,3.825320790892729
2025-10-28,AUD,4Y,6M BBSW,3.668026756878195
2025-10-27,AUD,4Y,6M BBSW,3.655582281358334
2025-10-24,AUD,4Y,6M BBSW,3.598294753202016
2025-10-23,AUD,4Y,6M BBSW,3.611372436932209
2025-10-22,AUD,4Y,6M BBSW,3.565443667662182
2025-10-21,AUD,4Y,6M BBSW,3.590447709195344
2025-10-20,AUD,4Y,6M BBSW,3.555764024711209
2025-10-17,AUD,4Y,6M BBSW,3.580612106127878
2025-10-16,AUD,4Y,6M BBSW,3.554755332226839
2025-10-15,AUD,4Y,6M BBSW,3.679096992549582
2025-10-14,AUD,4Y,6M BBSW,3.690546696310616
2025-10-13,AUD,4Y,6M BBSW,3.6971758991977
2025-10-10,AUD,4Y,6M BBSW,3.752831240509058
2025-10-09,AUD,4Y,6M BBSW,3.769617301695195
2025-10-08,AUD,4Y,6M BBSW,3.719747967201361
2025-10-07,AUD,4Y,6M BBSW,3.722911951729214
2025-10-03,AUD,4Y,6M BBSW,3.713192856044162
2025-10-02,AUD,4Y,6M BBSW,3.704702533187362
2025-10-01,AUD,4Y,6M BBSW,3.72335925775929
2025-09-30,AUD,4Y,6M BBSW,3.758643806704479
2025-09-29,AUD,4Y,6M BBSW,3.710865780779132
2025-09-26,AUD,4Y,6M BBSW,3.740828380017413
2025-09-25,AUD,4Y,6M BBSW,3.754578325185989
2025-09-24,AUD,4Y,6M BBSW,3.70046974425525
2025-09-23,AUD,4Y,6M BBSW,3.600738659931126
2025-09-22,AUD,4Y,6M BBSW,3.627369942390206
2025-09-19,AUD,4Y,6M BBSW,3.60003966153588
2025-09-18,AUD,4Y,6M BBSW,3.590032781330676
2025-09-17,AUD,4Y,6M BBSW,3.590321323734151
2025-09-16,AUD,4Y,6M BBSW,3.574875495697327
2025-09-15,AUD,4Y,6M BBSW,3.587293516611918
2025-09-12,AUD,4Y,6M BBSW,3.603813963080075
2025-09-11,AUD,4Y,6M BBSW,3.566929901854384
2025-09-10,AUD,4Y,6M BBSW,3.560753832671086
2025-09-09,AUD,4Y,6M BBSW,3.600214785763217
2025-09-08,AUD,4Y,6M BBSW,3.557920836429296
2025-09-05,AUD,4Y,6M BBSW,3.563645230365239
2025-09-04,AUD,4Y,6M BBSW,3.614847061450436
2025-09-03,AUD,4Y,6M BBSW,3.632838824139007
2025-09-02,AUD,4Y,6M BBSW,3.58439328456268
2025-09-01,AUD,4Y,6M BBSW,3.581059994935093
2025-08-29,AUD,4Y,6M BBSW,3.527921518921508
2025-08-28,AUD,4Y,6M BBSW,3.519475153824297
2025-08-27,AUD,4Y,6M BBSW,3.537621661185304
2025-08-26,AUD,4Y,6M BBSW,3.53983273242928
2025-08-25,AUD,4Y,6M BBSW,3.535667230588268
2025-08-22,AUD,4Y,6M BBSW,3.545209737194638
2025-08-21,AUD,4Y,6M BBSW,3.553976253923024
2025-08-20,AUD,4Y,6M BBSW,3.519278776384552
2025-08-19,AUD,4Y,6M BBSW,3.556594665383689
2025-08-18,AUD,4Y,6M BBSW,3.541028623619172
2025-08-15,AUD,4Y,6M BBSW,3.503841450148441
2025-08-14,AUD,4Y,6M BBSW,3.513676573422048
2025-08-13,AUD,4Y,6M BBSW,3.47364684986399
2025-08-12,AUD,4Y,6M BBSW,3.519465732700237
2025-08-11,AUD,4Y,6M BBSW,3.556606718273166
2025-08-08,AUD,4Y,6M BBSW,3.553790567991118
2025-08-07,AUD,4Y,6M BBSW,3.543205232739994
2025-08-06,AUD,4Y,6M BBSW,3.524185292598569
2025-08-05,AUD,4Y,6M BBSW,3.51371250160363
2025-08-01,AUD,4Y,6M BBSW,3.489034196414551
2025-07-31,AUD,4Y,6M BBSW,3.582011774578845
2025-07-30,AUD,4Y,6M BBSW,3.56673632586207
2025-07-29,AUD,4Y,6M BBSW,3.578651413669578
2025-07-28,AUD,4Y,6M BBSW,3.610893809065454
2025-07-25,AUD,4Y,6M BBSW,3.614686354304028
2025-07-24,AUD,4Y,6M BBSW,3.6185186580231
2025-07-23,AUD,4Y,6M BBSW,3.569459927477704
2025-07-22,AUD,4Y,6M BBSW,3.54060662944942
2025-07-21,AUD,4Y,6M BBSW,3.535868026550745
2025-07-18,AUD,4Y,6M BBSW,3.560526439097864
2025-07-17,AUD,4Y,6M BBSW,3.54188572946835
2025-07-16,AUD,4Y,6M BBSW,3.626602241552064
2025-07-15,AUD,4Y,6M BBSW,3.665623088129707
2025-07-14,AUD,4Y,6M BBSW,3.606837578734871
2025-07-11,AUD,4Y,6M BBSW,3.610841605511053
2025-07-10,AUD,4Y,6M BBSW,3.587532704508217
2025-07-09,AUD,4Y,6M BBSW,3.558906550871986
2025-07-08,AUD,4Y,6M BBSW,3.57757138483543
2025-07-07,AUD,4Y,6M BBSW,3.488042077591644
2025-07-04,AUD,4Y,6M BBSW,3.465363563502741
2025-07-03,AUD,4Y,6M BBSW,3.493776944838691
2025-07-02,AUD,4Y,6M BBSW,3.45729838325419
2025-07-01,AUD,4Y,6M BBSW,3.431526065601211
2025-06-30,AUD,4Y,6M BBSW,3.434501316352557
2025-06-27,AUD,4Y,6M BBSW,3.445728119829354
2025-06-26,AUD,4Y,6M BBSW,3.418215024943739
2025-06-25,AUD,4Y,6M BBSW,3.427365444287586
2025-06-24,AUD,4Y,6M BBSW,3.44023156042125
2025-06-23,AUD,4Y,6M BBSW,3.482224336177822
2025-06-20,AUD,4Y,6M BBSW,3.494613815879754
2025-06-19,AUD,4Y,6M BBSW,3.499738725567489
2025-06-18,AUD,4Y,6M BBSW,3.537653526082601
2025-06-17,AUD,4Y,6M BBSW,3.504344518426485
2025-06-16,AUD,4Y,6M BBSW,3.521561112461303
2025-06-13,AUD,4Y,6M BBSW,3.488778704643226
2025-06-12,AUD,4Y,6M BBSW,3.45751913671677
2025-06-11,AUD,4Y,6M BBSW,3.507907804593364
2025-06-10,AUD,4Y,6M BBSW,3.549075517650722
2025-06-06,AUD,4Y,6M BBSW,3.587332702209452
2025-06-05,AUD,4Y,6M BBSW,3.522846200548287
2025-06-04,AUD,4Y,6M BBSW,3.455732952806326
2025-06-03,AUD,4Y,6M BBSW,3.4678965205621
2025-06-02,AUD,4Y,6M BBSW,3.514896648383211
2025-05-30,AUD,4Y,6M BBSW,3.484401842916757
2025-05-29,AUD,4Y,6M BBSW,3.526105626614731
2025-05-28,AUD,4Y,6M BBSW,3.607798888441699
2025-05-27,AUD,4Y,6M BBSW,3.512789131717435
2025-05-26,AUD,4Y,6M BBSW,3.542812968343137
2025-05-23,AUD,4Y,6M BBSW,3.573614378895849
2025-05-22,AUD,4Y,6M BBSW,3.600284300091636
2025-05-21,AUD,4Y,6M BBSW,3.66123107945837
2025-05-20,AUD,4Y,6M BBSW,3.594494783344711
2025-05-19,AUD,4Y,6M BBSW,3.738574595666708
2025-05-16,AUD,4Y,6M BBSW,3.758760544172392
2025-05-15,AUD,4Y,6M BBSW,3.715277743057252
2025-05-14,AUD,4Y,6M BBSW,3.772052386125815
2025-05-13,AUD,4Y,6M BBSW,3.728233128693252
2025-05-12,AUD,4Y,6M BBSW,3.688217496143275
2025-05-09,AUD,4Y,6M BBSW,3.529402311237346
2025-05-08,AUD,4Y,6M BBSW,3.539898063415409
2025-05-07,AUD,4Y,6M BBSW,3.466326281764329
2025-05-06,AUD,4Y,6M BBSW,3.531272244055363
2025-05-05,AUD,4Y,6M BBSW,3.532041270508657
2025-05-02,AUD,4Y,6M BBSW,3.515438845277134
2025-05-01,AUD,4Y,6M BBSW,3.461081415029278
2025-04-30,AUD,4Y,6M BBSW,3.428611110010035
2025-04-29,AUD,4Y,6M BBSW,3.432608874788225
2025-04-28,AUD,4Y,6M BBSW,3.428374863374785
2025-04-24,AUD,4Y,6M BBSW,3.486937840802446
2025-04-23,AUD,4Y,6M BBSW,3.56203321742001
2025-04-22,AUD,4Y,6M BBSW,3.490129881226308
2025-04-17,AUD,4Y,6M BBSW,3.486001944962347
2025-04-16,AUD,4Y,6M BBSW,3.503982796928934
2025-04-15,AUD,4Y,6M BBSW,3.559934327035798
2025-04-14,AUD,4Y,6M BBSW,3.567596477542565
2025-04-11,AUD,4Y,6M BBSW,3.686539169955891
2025-04-10,AUD,4Y,6M BBSW,3.508111115661471
2025-04-09,AUD,4Y,6M BBSW,3.562633612999377
2025-04-08,AUD,4Y,6M BBSW,3.472768255181922
2025-04-07,AUD,4Y,6M BBSW,3.635272150463134
2025-04-04,AUD,4Y,6M BBSW,3.521492058687618
2025-03-28,AUD,4Y,6M BBSW,3.838300003574424
2025-03-27,AUD,4Y,6M BBSW,3.889866740969226
2025-03-26,AUD,4Y,6M BBSW,3.893654850424358
2025-03-25,AUD,4Y,6M BBSW,3.90144069130943
2025-03-24,AUD,4Y,6M BBSW,3.860069527450233
2025-03-21,AUD,4Y,6M BBSW,3.851274599878125
2025-03-20,AUD,4Y,6M BBSW,3.867905268764808
2025-03-19,AUD,4Y,6M BBSW,3.876624694011957
2025-03-18,AUD,4Y,6M BBSW,3.89052577280445
2025-03-17,AUD,4Y,6M BBSW,3.875422293173413
2025-03-14,AUD,4Y,6M BBSW,3.893434140943157
2025-03-13,AUD,4Y,6M BBSW,3.863820974130736
2025-03-12,AUD,4Y,6M BBSW,3.901176645604457
2025-03-11,AUD,4Y,6M BBSW,3.881142305866078
2025-03-10,AUD,4Y,6M BBSW,3.841669613413107
2025-03-07,AUD,4Y,6M BBSW,3.901479266833997
2025-03-06,AUD,4Y,6M BBSW,3.925666287432922
2025-03-05,AUD,4Y,6M BBSW,3.954961058384113
2025-03-04,AUD,4Y,6M BBSW,3.891126269543905
2025-03-03,AUD,4Y,6M BBSW,3.830926180031891
2025-02-28,AUD,4Y,6M BBSW,3.878552041920479
2025-02-27,AUD,4Y,6M BBSW,3.886863525073912
2025-02-26,AUD,4Y,6M BBSW,3.904516090402291
2025-02-25,AUD,4Y,6M BBSW,3.93037882991703
2025-02-24,AUD,4Y,6M BBSW,3.969369933247054
2025-02-21,AUD,4Y,6M BBSW,4.038686097395529
2025-02-20,AUD,4Y,6M BBSW,4.076124091570757
2025-02-19,AUD,4Y,6M BBSW,4.067276412459645
2025-02-18,AUD,4Y,6M BBSW,4.088848199375069
2025-02-17,AUD,4Y,6M BBSW,4.001101198991832
2025-02-14,AUD,4Y,6M BBSW,3.969630892487676
2025-02-13,AUD,4Y,6M BBSW,3.969019108399122
2025-02-12,AUD,4Y,6M BBSW,4.068371254569677
2025-02-11,AUD,4Y,6M BBSW,3.997163702505186
2025-02-10,AUD,4Y,6M BBSW,3.929340493808135
2025-02-07,AUD,4Y,6M BBSW,3.946813335623241
2025-02-06,AUD,4Y,6M BBSW,3.882189398309958
2025-02-05,AUD,4Y,6M BBSW,3.853395707274372
2025-02-04,AUD,4Y,6M BBSW,3.958518381210349
2025-02-03,AUD,4Y,6M BBSW,3.957637337245491
2025-01-31,AUD,4Y,6M BBSW,3.924174892583032
2025-01-30,AUD,4Y,6M BBSW,3.933254984961881
2025-01-29,AUD,4Y,6M BBSW,3.937290095381841
2025-01-28,AUD,4Y,6M BBSW,3.985796468344176
2025-01-24,AUD,4Y,6M BBSW,4.024702425385761
2025-01-23,AUD,4Y,6M BBSW,4.056147908895285
2025-01-22,AUD,4Y,6M BBSW,4.068955584376973
2025-01-21,AUD,4Y,6M BBSW,4.047247836041054
2025-01-20,AUD,4Y,6M BBSW,4.036965993106167
2025-01-17,AUD,4Y,6M BBSW,4.104870135354314
2025-01-16,AUD,4Y,6M BBSW,4.086786918473974
2025-01-15,AUD,4Y,6M BBSW,4.084088216805222
2025-01-14,AUD,4Y,6M BBSW,4.190414671323304
2025-01-13,AUD,4Y,6M BBSW,4.171577660291582
2025-01-10,AUD,4Y,6M BBSW,4.125680758592941
2025-01-09,AUD,4Y,6M BBSW,4.024565984284236
2025-01-08,AUD,4Y,6M BBSW,4.075940631086006
2025-01-07,AUD,4Y,6M BBSW,4.11011214361479
2025-01-06,AUD,4Y,6M BBSW,4.027380039310629
2025-01-03,AUD,4Y,6M BBSW,3.974891448908938
2025-01-02,AUD,4Y,6M BBSW,3.967631533894634
2024-12-31,AUD,4Y,6M BBSW,3.940922188014624
2024-12-30,AUD,4Y,6M BBSW,3.965372905754785
2024-12-27,AUD,4Y,6M BBSW,3.972373634917756
